Logradouro;Bairro;CEP;Situacao
Rodovia Edgard Máximo Zambotto;Bairro do Fim do Campo;13246033;Valido
Estrada Municipal Jacundo Censi;Bairro do Fim do Campo;13246034;Valido
Estrada Municipal Joanim Perobelli;Bairro do Fim do Campo;13246035;Valido
Estrada Municipal Atílio Squizato;Parque das Videiras;13246100;Valido
Rua Benedito Higino Machado Dito Gordo;Parque das Videiras;13246102;Valido
Rua Amazil Marcellina das Dores;Parque das Videiras;13246104;Valido
Rua Antonio Carlos de Lima;Parque das Videiras;13246106;Valido
Rua José Benedito Arcanjo;Parque das Videiras;13246108;Valido
Avenida João Messias;Parque das Videiras;13246110;Valido
Rua Iracema Vieira Golçalves;Parque das Videiras;13246112;Valido
Rua José Bueno Ferraz;Parque das Videiras;13246114;Valido
Rua Francisco Arcanjo;Parque das Videiras;13246116;Valido
Rua José Bernardino de Moura;Parque das Videiras;13246118;Valido
Rua Silvio Angelo Malerba;Parque das Videiras;13246120;Valido
Rua dos Laranjais;Parque das Videiras;13246122;Valido
Avenida São Luiz;Estância São Luiz;13246130;Valido
Alameda das Orquídeas;Estância São Luiz;13246132;Valido
Alameda das Rosas;Estância São Luiz;13246134;Valido
Alameda Primavera;Estância São Luiz;13246136;Valido
Alameda das Palmas;Estância São Luiz;13246138;Valido
Alameda das Flores;Estância São Luiz;13246140;Valido
Rua Alfredo Moneti;Estância São Luiz;13246142;Valido
Alameda das Azaléias;Estância São Luiz;13246144;Valido
Alameda das Violetas;Estância São Luiz;13246146;Valido
Alameda dos Lírios;Estância São Luiz;13246148;Valido
Alameda Rosa Sacchetin Viana;Estância São Luiz;13246150;Valido
Alameda dos Girassóis;Estância São Luiz;13246152;Valido
Estrada Municipal Cipriano Perobelli;Estância São Luiz;13246154;Valido
Estrada Municipal Cipriano Perobelli;Estância Maria Elisa;13246160;Valido
Rua 7 de Setembro;Estância Maria Elisa;13246162;Valido
Rua 21 de Abril;Estância Maria Elisa;13246164;Valido
Estrada Municipal Cipriano Perobelli;Estância Pauleto;13246170;Valido
Estrada Municipal Cipriano Perobelli;Estância Pauleto II;13246180;Valido
Estrada Municipal Eugênio Masteguim (JAR-276);Bairro do Capão;13246190;Valido
Rua Hildefonso Vianna;Recanto do Sol;13246300;Valido
Estrada Recanto do Sol;Recanto do Sol;13246302;Valido
Avenida Antonia Bezerra da Silva;Residencial Cambarah;13246310;Valido
Rua Ayrton Senna da Silva;Residencial Cambarah;13246312;Valido
Rua Ronald Golias;Residencial Cambarah;13246314;Valido
Rua Francisco Anysio de Oliveira Paula Filho;Residencial Cambarah;13246316;Valido
Rua Hebe Maria Monteiro de Camargo Ravagnani;Residencial Cambarah;13246318;Valido
Rua Antonio Carlos Jobim;Residencial Cambarah;13246320;Valido
Rua Doutora Zilda Arns;Residencial Cambarah;13246322;Valido
Rua Jorge Leal Amado de Farias;Residencial Cambarah;13246324;Valido
Rua Oscar Niemeyer Ribeiro Soares Filho;Residencial Cambarah;13246326;Valido
Via São Francisco;Parque Yramaia;13246670;Valido
Via Marajó;Parque Yramaia;13246672;Valido
Via Xingu;Parque Yramaia;13246674;Valido
Via Tocantins;Parque Yramaia;13246676;Valido
Via Iguaçu;Parque Yramaia;13246678;Valido
Rua 1;Recanto Campo Verde;13246680;Valido
Rua 2;Recanto Campo Verde;13246682;Valido
Rua Professor Neydy de Campos Melges;Chácaras Canaã;13246690;Valido
Estrada Municipal Rubens de Almeida Pupo;Chácaras Canaã;13246692;Valido
Rua Colomba Castelli Pomim;Chácaras Canaã;13246694;Valido
Rua Cambará;Recreio Santo Antônio;13246700;Valido
Alameda Schiesaro;Recreio Santo Antônio;13246702;Valido
Rua Sucupira Amarela;Recreio Santo Antônio;13246704;Valido
Rua Andirá;Recreio Santo Antônio;13246706;Valido
Rua Rosa da Mata;Recreio Santo Antônio;13246708;Valido
Rua Cedro Amarelo;Recreio Santo Antônio;13246710;Valido
Rua Árvore da Chuva;Recreio Santo Antônio;13246712;Valido
Estrada do Mirante;Estância Figueira Branca;13246720;Valido
Estrada dos Manacás;Estância Figueira Branca;13246722;Valido
Estrada da Cabreuvas;Estância Figueira Branca;13246724;Valido
Estrada do Bosque;Estância Figueira Branca;13246726;Valido
Travessa do Bosque;Estância Figueira Branca;13246728;Valido
Estrada do Cedro;Estância Figueira Branca;13246730;Valido
Travessa do Cedro;Estância Figueira Branca;13246732;Valido
Travessa dos Jequitibás;Estância Figueira Branca;13246734;Valido
Estrada das Embuias;Estância Figueira Branca;13246736;Valido
Estrada da Figueira;Estância Figueira Branca;13246738;Valido
Estrada do Pau D'Alho;Estância Figueira Branca;13246740;Valido
Estrada das Perobas;Estância Figueira Branca;13246742;Valido
Estrada Municipal Manoel Gerez Navarro;Vale Esmeralda;13246750;Valido
Rua Sanhaço de Fogo;Vale Esmeralda;13246752;Valido
Rua Pintassilgo Verde;Vale Esmeralda;13246754;Valido
Rua Beija- Flor;Vale Esmeralda;13246756;Valido
Via do Planalto;Vale Esmeralda;13246758;Valido
Rua João de Barro;Vale Esmeralda;13246760;Valido
Rua Tuiuiu;Vale Esmeralda;13246762;Valido
Rua Uirapuru;Vale Esmeralda;13246764;Valido
Estrada Municipal Manoel Gerez Navarro;Maracanã;13246770;Valido
Rua Deus é Fiel;Maracanã;13246771;Valido
Estrada Municipal Gino Dártora;Maracanã;13246772;Valido
Estrada Municipal Gino Dártora;Maracanã;13246773;Valido
Estrada Municipal Gino Dártora;Maracanã;13246774;Valido
Rua dos Jacarandás;Estância Paraiso;13246776;Valido
Rua das Tulipas;Estância Paraiso;13246777;Valido
Rua das Bromélias;Estância Paraiso;13246778;Valido
Rua das Oliveiras;Estância Paraiso;13246779;Valido
Rua das Pimentas;Estância Paraiso;13246780;Valido
Rua Vitória Régia;Estância Paraiso;13246781;Valido
Rua Canela do Campo;Estância Paraiso;13246782;Valido
Rua das Macieiras;Estância Paraiso;13246783;Valido
Rua Amarilis;Estância Paraiso;13246784;Valido
Rua dos Cambarás;Estância Paraiso;13246785;Valido
Rua Rosa do Deserto;Estância Paraiso;13246786;Valido
Rua das Gardênias;Estância Paraiso;13246787;Valido
Rua Alexandre de Oliveira;Campo do Realengo;13247000;Valido
Rua Guatambu;Campo do Realengo;13247002;Valido
Rua 8;Campo do Realengo;13247004;Valido
Rua Nair Almeida Oliveira;Campo do Realengo;13247006;Valido
Rua João Gerez Rodrigues;Campo do Realengo;13247008;Valido
Estrada Municipal Gino Dártora;Campo do Realengo;13247009;Valido
Rua Cambucá;Campo do Realengo;13247010;Valido
Rua Sapucaia;Campo do Realengo;13247012;Valido
Rua Cedro;Campo do Realengo;13247014;Valido
Estrada Municipal Gino Dártora;Estância Morro Alto;13247020;Valido
Estrada São Vicente;Chácaras de Recreio da Fazenda Estância São Paulo;13247200;Valido
Estrada Santo Agostinho;Chácaras de Recreio da Fazenda Estância São Paulo;13247202;Valido
Estrada São Francisco;Chácaras de Recreio da Fazenda Estância São Paulo;13247204;Valido
Estrada São Joaquim;Chácaras de Recreio da Fazenda Estância São Paulo;13247206;Valido
Estrada Sebastião dos Santos Camargo;Chácaras de Recreio da Fazenda Estância São Paulo;13247208;Valido
Estrada Municipal Gino Dártora;Chácaras de Recreio da Fazenda Estância São Paulo;13247210;Valido
Estrada Municipal Gino Dártora;Chácaras de Recreio da Fazenda Estância São Paulo;13247211;Valido
Rua Carmem Pinto Silvestre;Chácaras de Recreio da Fazenda Estância São Paulo;13247212;Valido
Estrada Municipal João Ferreira da Silva;Chácaras de Recreio da Fazenda Estância São Paulo;13247214;Valido
Estrada Santa Bárbara;Chácaras de Recreio da Fazenda Estância São Paulo;13247216;Valido
Caminho 14;Chácaras de Recreio da Fazenda Estância São Paulo;13247218;Valido
Caminho 15;Chácaras de Recreio da Fazenda Estância São Paulo;13247220;Valido
Caminho 16;Chácaras de Recreio da Fazenda Estância São Paulo;13247222;Valido
Caminho Jerônimo Gregório Garcia Mesas;Chácaras de Recreio da Fazenda Estância São Paulo;13247224;Valido
Estrada Municipal João Lucio do Prado;Chácaras de Recreio da Fazenda Estância São Paulo;13247226;Valido
Alameda dos Ipês Coloridos;Residencial Terras de Jarinu;13247230;Valido
Alameda das Aroeiras Brasileiras;Residencial Terras de Jarinu;13247232;Valido
Alameda Suinã;Residencial Terras de Jarinu;13247234;Valido
Alameda Carnaúba;Residencial Terras de Jarinu;13247236;Valido
Alameda Jacarandá Mimoso;Residencial Terras de Jarinu;13247238;Valido
Alameda das Cássias;Residencial Terras de Jarinu;13247240;Valido
Alameda Sanandu;Residencial Terras de Jarinu;13247242;Valido
Alameda Resedá Oriental;Residencial Terras de Jarinu;13247244;Valido
Alameda Paineiras Brasileiras;Residencial Terras de Jarinu;13247246;Valido
Alameda Flora;Residencial Terras de Jarinu;13247248;Valido
Alameda Mata Atlântica;Residencial Terras de Jarinu;13247250;Valido
Alameda Chuva de Ouro;Residencial Terras de Jarinu;13247252;Valido
Alameda Quaresmeira Rosa;Residencial Terras de Jarinu;13247254;Valido
Alameda Manacá Pioneiro;Residencial Terras de Jarinu;13247256;Valido
Alameda Sibipiruna Brasileira;Residencial Terras de Jarinu;13247258;Valido
Alameda Bahuínia;Residencial Terras de Jarinu;13247260;Valido
Estrada Municipal;Chácaras Uvalândia;13247400;Valido
Rua 2;Chácaras Uvalândia;13247402;Valido
Rua 3;Chácaras Uvalândia;13247404;Valido
Rua 4;Chácaras Uvalândia;13247406;Valido
Rua 5;Chácaras Uvalândia;13247408;Valido
Rua 6;Chácaras Uvalândia;13247410;Valido
Estrada das Orquídeas;Chácaras Santo Antônio;13247500;Valido
Estrada dos Cravos;Chácaras Santo Antônio;13247502;Valido
Estrada das Margaridas;Chácaras Santo Antônio;13247504;Valido
Estrada das Rosas;Chácaras Santo Antônio;13247506;Valido
Estrada das Violetas;Chácaras Santo Antônio;13247508;Valido
Rua das Hortências;Jardim Cayoçara;13247510;Valido
Rua dos Miosotis;Jardim Cayoçara;13247512;Valido
Rua das Margaridas;Jardim Cayoçara;13247514;Valido
Rua das Azaléas;Jardim Cayoçara;13247516;Valido
Avenida Nossa Senhora do Bom Parto;Campo Largo;13247520;Valido
Praça Maximino Pintor Pelegrini;Campo Largo;13247521;Valido
Rua São Benedito;Campo Largo;13247522;Valido
Rua Sebastião Bueno da Cunha Filho;Campo Largo;13247523;Valido
Avenida Domingos Squizato;Campo Largo;13247524;Valido
Estrada Municipal Miguel Carmine Pistocia (JAR-481);Campo Largo;13247525;Valido
Rua José Arca;Campo Largo;13247526;Valido
Rua João Barbosa Franco;Conjunto Habitacional Antenor Rodini;13247600;Valido
Estrada Municipal Jacundo Censi;Parque Florença;13248000;Valido
Rua 1;Parque Florença;13248002;Valido
Rua 2;Parque Florença;13248004;Valido
Rua 3;Parque Florença;13248006;Valido
Rua 4;Parque Florença;13248008;Valido
Rua 5;Parque Florença;13248010;Valido
Rua 6;Parque Florença;13248012;Valido
Rua 7;Parque Florença;13248014;Valido
Rua 8;Parque Florença;13248016;Valido
Rua 9;Parque Florença;13248018;Valido
Estrada Municipal Bento Galdino de Sousa (JAR-349);Bairro do Pinheirinho;13248020;Valido
Estrada Municipal Natal Lorencini (JAR-030);Bairro do Pinheirinho;13248021;Valido
Rodovia Edgard Máximo Zambotto;Soares;13248100;Valido
Estrada Municipal Orestes Francisco Censi (JAR-386);Soares;13248101;Valido
Estrada Municipal Jacundo Censi;Soares;13248103;Valido
Rua Um;Soares;13248102;Valido
Estrada Municipal Natal Lorencini (JAR-030);Bairro do Tanque;13248390;Valido
Estrada Municipal Lazaro Gago;Bairro do Tanque;13248391;Valido
Rua Jequitibá;Recreio More;13248400;Valido
Rua Jatobás;Recreio More;13248402;Valido
Rua Jacarandá;Recreio More;13248404;Valido
Estrada Municipal Natal Lorencini (JAR-030);Bairro do Campo Verde;13248410;Valido
Alameda Colina do Sol;Colina do Sol;13249010;Valido
Estrada Municipal Natal Lorencini (JAR-030);Bairro da Invernada;13249030;Valido
Estrada Municipal Orlando Fumachi;Bairro da Invernada;13249031;Valido
Estrada Municipal Natal Lorencini (JAR-030);Bairro do Pitangal;13249160;Valido
Estrada Municipal Fioravante Doratioto;Bairro do Pitangal;13249161;Valido
Estrada Municipal Jacinto Marin;Bairro do Pitangal;13249162;Valido
Estrada Domingos Parise;Bairro do Pitangal;13249163;Valido
Estrada Municipal Natal Lorencini (JAR-030);Bairro do Tem Tem;13249320;Valido
Área Rural;Área Rural de Jarinu;13249899;Valido
